,Year,RK_x,Team,League_x,G_x,AB,R_x,H_x,2B,3B,HR_x,RBI,BB_x,SO_x,SB_x,CS_x,AVG▼_x,OBP,SLG,OPS,RK_y,League_y,W,L,ERA,G_y,GS_x,SV,SVO,IP,H_y,R_y,ER,HR_y,BB_y,SO_y,AVG▼_y,WHIP,RK,League,G,GS_y,INN,TC,PO,A,E,DP,SB_y,CS_y,SBPCT,PB,C_WP,FPCT▼,DER,Playoff
55,2017.0,26,Texas Rangers,AL,162,5430,799,1326,255,21,237,756,544,1493,113,44,0.244,0.32,0.43,0.75,13,AL,78,84,4.66,162,162,29,50,1434.1,1443,816,742,214,559,1107,0.261,1.4,25,AL,162,1458,12909.0,6027,4303,1616,108,173,87,28,0.757,8,63,0.982,0.696,0.0
56,2017.0,27,Pittsburgh Pirates,NL,162,5458,668,1331,249,36,151,635,519,1213,67,36,0.244,0.318,0.386,0.7040000000000001,9,NL,75,87,4.22,162,162,36,57,1440.2,1464,731,676,182,511,1262,0.264,1.37,20,NL,162,1458,12966.0,6083,4322,1662,99,156,95,28,0.772,15,58,0.9840000000000001,0.68,0.0
57,2017.0,28,Los Angeles Angels,AL,162,5415,710,1314,251,14,186,678,523,1198,136,44,0.243,0.315,0.397,0.7120000000000001,21,AL,80,82,4.2,162,162,43,65,1440.2,1373,709,672,224,470,1312,0.251,1.28,7,AL,162,1458,12966.0,5864,4322,1462,80,135,71,43,0.623,10,57,0.986,0.701,0.0
58,2017.0,29,Toronto Blue Jays,AL,162,5499,693,1320,269,5,222,661,542,1327,53,24,0.24,0.312,0.41200000000000003,0.7240000000000001,16,AL,76,86,4.42,162,162,45,72,1465.0,1460,784,720,203,549,1372,0.258,1.37,12,AL,162,1458,13185.0,6057,4395,1570,92,145,119,26,0.821,8,53,0.985,0.684,0.0
59,2017.0,30,San Diego Padres,NL,162,5356,604,1251,227,31,189,576,460,1499,89,33,0.23399999999999999,0.299,0.39299999999999996,0.6920000000000001,15,NL,71,91,4.67,162,162,45,62,1430.2,1417,816,742,226,554,1325,0.259,1.38,27,NL,162,1458,12876.0,6028,4292,1623,113,177,76,34,0.691,8,73,0.981,0.6859999999999999,0.0
60,2016.0,1,Boston Red Sox,AL,162,5670,878,1598,343,25,208,836,558,1160,83,24,0.282,0.348,0.461,0.81,24,AL,93,69,4.0,162,162,43,61,1439.2,1342,694,640,176,490,1362,0.24600000000000002,1.27,5,AL,162,1458,12957.0,5821,4319,1427,75,139,59,33,0.6409999999999999,37,52,0.987,0.695,1.0
61,2016.0,2,Colorado Rockies,NL,162,5614,845,1544,318,47,204,805,494,1330,66,39,0.275,0.336,0.457,0.794,3,NL,75,87,4.91,162,162,37,65,1429.1,1532,860,779,181,547,1223,0.27399999999999997,1.45,27,NL,162,1458,12864.0,6147,4288,1749,110,148,100,31,0.763,13,72,0.982,0.67,0.0
62,2016.0,3,Detroit Tigers,AL,161,5526,750,1476,252,30,211,719,493,1303,58,29,0.267,0.331,0.43799999999999994,0.769,11,AL,86,75,4.24,161,161,47,66,1428.0,1417,721,672,182,462,1232,0.26,1.32,4,AL,161,1449,12852.0,5896,4284,1537,75,148,71,39,0.645,5,44,0.987,0.6920000000000001,0.0
63,2016.0,4,Miami Marlins,NL,161,5547,655,1460,259,42,128,626,447,1213,71,28,0.263,0.322,0.39399999999999996,0.716,22,NL,79,82,4.05,161,161,55,84,1435.0,1358,682,646,152,595,1379,0.251,1.36,10,NL,161,1449,12915.0,5897,4305,1506,86,137,76,38,0.667,9,66,0.985,0.6859999999999999,0.0
64,2016.0,5,Texas Rangers,AL,162,5525,765,1446,257,23,215,746,436,1220,99,36,0.262,0.322,0.433,0.755,10,AL,95,67,4.37,162,162,56,73,1443.0,1441,757,700,201,534,1154,0.26,1.37,16,AL,162,1458,12987.0,6081,4329,1655,97,190,82,33,0.713,11,45,0.9840000000000001,0.693,1.0
65,2016.0,6,Cleveland Indians,AL,161,5484,777,1435,308,29,185,733,531,1246,134,31,0.262,0.32899999999999996,0.43,0.759,26,AL,94,67,3.84,161,161,37,48,1445.0,1330,676,617,186,461,1398,0.243,1.24,12,AL,161,1449,13005.0,6032,4335,1608,89,126,51,32,0.614,12,49,0.985,0.6970000000000001,1.0
66,2016.0,7,Kansas City Royals,AL,162,5552,675,1450,264,33,147,640,382,1224,121,35,0.261,0.312,0.4,0.7120000000000001,12,AL,81,81,4.21,162,162,41,60,1440.0,1433,712,674,206,517,1287,0.259,1.35,14,AL,162,1458,12960.0,5940,4320,1526,94,134,55,42,0.5670000000000001,7,55,0.9840000000000001,0.6890000000000001,0.0
67,2016.0,8,Arizona Diamondbacks,NL,162,5665,752,1479,285,56,190,709,463,1427,137,31,0.261,0.32,0.43200000000000005,0.752,2,NL,69,93,5.09,162,162,31,53,1451.1,1563,890,821,202,603,1318,0.275,1.49,20,NL,162,1458,13062.0,6118,4354,1663,101,143,63,35,0.643,17,69,0.983,0.667,0.0
68,2016.0,9,Los Angeles Angels,AL,162,5431,717,1410,279,20,156,686,471,991,73,34,0.26,0.322,0.405,0.726,4,AL,74,88,4.28,162,162,29,50,1421.1,1480,727,676,208,498,1136,0.26899999999999996,1.39,22,AL,162,1458,12792.0,5844,4264,1483,97,148,93,47,0.664,7,47,0.983,0.6859999999999999,0.0
69,2016.0,10,Seattle Mariners,AL,162,5583,768,1446,251,17,223,735,506,1288,56,28,0.259,0.326,0.43,0.7559999999999999,21,AL,86,76,4.0,162,162,49,74,1457.0,1410,707,647,213,460,1318,0.253,1.28,11,AL,162,1458,13113.0,6035,4371,1575,89,158,81,32,0.7170000000000001,11,52,0.985,0.6940000000000001,0.0
70,2016.0,11,San Francisco Giants,NL,162,5565,715,1437,280,54,130,675,572,1107,79,36,0.258,0.32899999999999996,0.39799999999999996,0.728,25,NL,87,75,3.65,162,162,43,72,1460.1,1334,631,593,158,439,1309,0.243,1.21,1,NL,162,1458,13143.0,6092,4381,1639,72,136,71,35,0.67,6,40,0.988,0.7020000000000001,0.0
71,2016.0,12,Pittsburgh Pirates,NL,162,5542,729,1426,277,32,153,696,561,1334,110,45,0.257,0.332,0.402,0.7340000000000001,5,NL,78,83,4.21,162,162,51,71,1450.2,1490,758,679,180,533,1232,0.267,1.39,26,NL,162,1458,13061.0,6215,4359,1745,111,172,102,28,0.785,17,72,0.982,0.677,0.0
72,2016.0,13,Chicago White Sox,AL,162,5550,686,1428,277,33,168,656,455,1285,77,36,0.257,0.317,0.41,0.727,16,AL,78,84,4.1,162,162,43,71,1446.2,1422,715,659,185,521,1270,0.257,1.34,15,AL,162,1458,13020.0,5971,4340,1536,95,148,89,20,0.8170000000000001,8,72,0.9840000000000001,0.6890000000000001,0.0
73,2016.0,14,Chicago Cubs,NL,162,5503,808,1409,293,30,199,767,656,1339,66,34,0.256,0.34299999999999997,0.429,0.772,30,NL,103,58,3.15,162,162,38,53,1459.2,1125,556,511,163,495,1441,0.212,1.11,21,NL,162,1458,13137.0,6115,4379,1635,101,116,133,38,0.778,12,80,0.983,0.731,1.0
